Anacroneuria,Argia,Baetidae,Caenis,Ceratopogonidae,Chironominae,Coenagrionidae,Elmidae,Empididae,Epigomphus,Farrodes,Forcypominae,Gyrinidae,Hagenulopsis,Haplohyphes,Hetaerina,Heterelmis,Hydroptilidae,Leptohyphes,Leptonema,Libellulidae,Macronema,Macrostemum,Megapodagrionidae,Nectopsyche,Nematomorpha,Oligochaeta,Orthocladiinae,Ostracoda,Phylloicus,Planaria,Polycentropus,Scirtidae,Simulium,Smicridea,Tanypodinae,Tanytarsini,Traverella,Traverhyphes,Tricorythodes,Ulmeritoides,Xestochironomus
1,0,1,2,3,12.25,1,4.5,0,0,2,0,0,2.5,2,0,0,2,0,0,1,0,0,1,0,0,6.666666667,1,0,0,0,0,1,0,0,24.33333333,16.66666667,0,6.5,10.33333333,0,0
0,0,0,1,1,11.5,1,4.333333333,0,0,1,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,1.666666667,2,0,1,1,0,1
0,1,0,1.333333333,0,3.5,0,9.333333333,0,0,2,0,0,6,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,6,1.5,0,1.5,1,0,2.333333333
0,0,2,0,0,0,1,5.2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,5.333333333,1,0,1.75,1,0,1
2,0,0,0,0,1,1,11.75,0,0,1.25,0,0,3.5,0,0,0,1,0,0,0,4.5,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,7.5,8,0,1
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0
0,0,0,0,1.5,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3.333333333,2.5,0,0,0,0,0
0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,2,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,1,1,0,0
0,0,0,0,1,2.333333333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0
0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,0,0,0,2.5,9.333333333,0,12.8,0,0,1,0,0,7.75,1,0,3,10,2,4,4,2.333333333,0,0,0,0,0,11,0,0,0,2,0,2.333333333,5.5,4.333333333,4,1,9.666666667,5.333333333,0,0
3,0,0,0,1,17.33333333,0,10,1,0,0,0,0,2,0,0,0,2,1,1,0,2,0,0,0,0,3.5,2.5,0,0,1,0,1,0,7,1.666666667,30,0,2.5,1,0,1
1.5,0,0,1,0,19.66666667,1,13,1,0,1.5,0,0,10.5,7,0,0,8,0,0,1,4,0,1,0,0,2,3,0,0,0,0,0,0,11,5,14,2,4,4.5,0,2
0,0,0,0,1,3,0,6.666666667,0,0,1,0,0,5,0,0,0,0,2,2,0,2.666666667,0,1,1,0,2,1,0,0,0,2,0,1,5,2,1.5,0,6,10,0,1
1.25,0,0,1,0,3.666666667,1,16.33333333,0,0,5,0,1,10.33333333,4,1,0,2,1,0,3,7.666666667,0,0,0,0,0,1,0,0,0,0,1,1,9,5.666666667,2,2,29,27.66666667,0,0
0,1,0,0,1.5,8.666666667,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.25,2.5,0,0,0,3.5,0
0,0,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
1,0,0,0,1,6,0,1.666666667,0,1,2,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,0,0,0,0,0,0
0,0,0,0,3,2,0,2.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,4.5,2,0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.5,1.333333333,0,0,0,0,0